"REF_DATE","GEO","DGUID","Airports","Type of power plant","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Hamilton, Ontario","Gliders","Number","223","units","0","v41550931","1.12.5","34","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Jet engines","Number","223","units","0","v41550932","1.13.1","10331","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Turbo-propellers","Number","223","units","0","v41550933","1.13.2","20939","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Piston engines","Number","223","units","0","v41550934","1.13.3","16646","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Helicopters","Number","223","units","0","v41550935","1.13.4","1550","","","","0"
"1997","Canada","2016A000011124","Kelowna, British Columbia","Gliders","Number","223","units","0","v41550936","1.13.5","4","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Jet engines","Number","223","units","0","v41550937","1.14.1","1263","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Turbo-propellers","Number","223","units","0","v41550938","1.14.2","2113","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Piston engines","Number","223","units","0","v41550939","1.14.3","34661","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Helicopters","Number","223","units","0","v41550940","1.14.4","898","","","","0"
"1997","Canada","2016A000011124","Kitchener/Waterloo, Ontario","Gliders","Number","223","units","0","v41550941","1.14.5","158","","","","0"
"1997","Canada","2016A000011124","Langley, British Columbia","Jet engines","Number","223","units","0","v41550942","1.15.1","18","","","","0"
"1997","Canada","2016A000011124","Langley, British Columbia","Turbo-propellers","Number","223","units","0","v41550943","1.15.2","36","","","","0"
"1997","Canada","2016A000011124","Langley, British Columbia","Piston engines","Number","223","units","0","v41550944","1.15.3","24584","","","","0"
"1997","Canada","2016A000011124","Langley, British Columbia","Helicopters","Number","223","units","0","v41550945","1.15.4","5463","","","","0"
"1997","Canada","2016A000011124","Langley, British Columbia","Gliders","Number","223","units","0","v41550946","1.15.5","111","","","","0"
"1997","Canada","2016A000011124","London, Ontario","Jet engines","Number","223","units","0","v41550947","1.16.1","3065","","","","0"
"1997","Canada","2016A000011124","London, Ontario","Turbo-propellers","Number","223","units","0","v41550948","1.16.2","24984","","","","0"
"1997","Canada","2016A000011124","London, Ontario","Piston engines","Number","223","units","0","v41550949","1.16.3","30670","","","","0"
"1997","Canada","2016A000011124","London, Ontario","Helicopters","Number","223","units","0","v41550950","1.16.4","1984","","","","0"
"1997","Canada","2016A000011124","London, Ontario","Gliders","Number","223","units","0","v41550951","1.16.5","40","","","","0"
"1997","Canada","2016A000011124","Moncton/Greater Moncton International, New Brunswick","Jet engines","Number","223","units","0","v41550952","1.17.1","7695","","","","0"
"1997","Canada","2016A000011124","Moncton/Greater Moncton International, New Brunswick","Turbo-propellers","Number","223","units","0","v41550953","1.17.2","15790","","","","0"
"1997","Canada","2016A000011124","Moncton/Greater Moncton International, New Brunswick","Piston engines","Number","223","units","0","v41550954","1.17.3","22251","","","","0"
"1997","Canada","2016A000011124","Moncton/Greater Moncton International, New Brunswick","Helicopters","Number","223","units","0","v41550955","1.17.4","814","","","","0"
"1997","Canada","2016A000011124","Moncton/Greater Moncton International, New Brunswick","Gliders","Number","223","units","0","v41550956","1.17.5","0","","","","0"
"1997","Canada","2016A000011124","Montréal/Mirabel International, Quebec","Jet engines","Number","223","units","0","v41550957","1.18.1","27224","","","t","0"
"1997","Canada","2016A000011124","Montréal/Mirabel International, Quebec","Turbo-propellers","Number","223","units","0","v41550958","1.18.2","6581","","","t","0"
"1997","Canada","2016A000011124","Montréal/Mirabel International, Quebec","Piston engines","Number","223","units","0","v41550959","1.18.3","11144","","","t","0"
"1997","Canada","2016A000011124","Montréal/Mirabel International, Quebec","Helicopters","Number","223","units","0","v41550960","1.18.4","2208","","","t","0"
"1997","Canada","2016A000011124","Montréal/Mirabel International, Quebec","Gliders","Number","223","units","0","v41550961","1.18.5","41","","","t","0"
"1997","Canada","2016A000011124","Montréal/Pierre Elliott Trudeau International, Quebec","Jet engines","Number","223","units","0","v41550962","1.19.1","109856","","","","0"
"1997","Canada","2016A000011124","Montréal/Pierre Elliott Trudeau International, Quebec","Turbo-propellers","Number","223","units","0","v41550963","1.19.2","61192","","","","0"
"1997","Canada","2016A000011124","Montréal/Pierre Elliott Trudeau International, Quebec","Piston engines","Number","223","units","0","v41550964","1.19.3","20068","","","","0"
"1997","Canada","2016A000011124","Montréal/Pierre Elliott Trudeau International, Quebec","Helicopters","Number","223","units","0","v41550965","1.19.4","3912","","","","0"
"1997","Canada","2016A000011124","Montréal/Pierre Elliott Trudeau International, Quebec","Gliders","Number","223","units","0","v41550966","1.19.5","15","","","","0"
"1997","Canada","2016A000011124","Montréal/St-Hubert, Quebec","Jet engines","Number","223","units","0","v41550967","1.20.1","1370","","","","0"
